objectid,parentid,filename,title,creator,date,description,subject,location,type,format
coll001,,traintopakistan.jpg,Train to Pakistan,Khushwant Singh,1956,"It is a place, Khushwant Singh goes on to tell us at the beginning of this classic novel, where Sikhs and Muslims have lived together in peace for hundreds of years. Then one day, at the end of the summer, the ""ghost train"" arrives, a silent, incredible funeral train loaded with the bodies of thousands of refugees, bringing the village its first taste of the horrors of the civil war. Train to Pakistan is the story of this isolated village that is plunged into the abyss of religious hate. It is also the story of a Sikh boy and a Muslim girl whose love endures and trancends the ravages of war.",Pakistan; India; Train; Muslim; Sikh; Hindu; Muslim; dedication page;,"Monroe County Public Library, Bloomington, IN",Image;StillImage,image/jpeg
coll002,,thepartitionproject.jpg,The Partition Project,Saadia Faruqi,2024,"When her grandmother comes from Pakistan to live with Maha and her family, Maha is not thrilled. She has to give up her room and move to the attic — and worst of all, she is charged with taking care of Dadi after school. Added to her worries is the fact that Maha needs to come up with a memorable project for her media studies class —and since she is determined to be a journalist someday, she needs a truly inspiring idea. Then Dadi starts talking about her own childhood. As she begins to recount the heartbreaking events surrounding the Partition of India and her family's move to the new country of Pakistan in 1947, Maha things she has found her idea. And unexpectedly, Maha begins to understand her heritage, her family, and the sacrifices they have made.",dedication; frontise piece; map; epigraph; pakistan; india,"Monroe County Public Library, Bloomington, IN",Image;StillImage,image/jpeg
coll003,,zarinadivided.jpg,Zarina Divided,Reem Faruqi,2025,,dedication page; frontise piece; map; india; pakistan; train; poetry;,"Monroe County Public Library, Bloomington, IN",Image;StillImage,image/jpeg
coll004,,azadi.jpg,Azadi,Chaman Nahal,1975,,epigraph; frontise piece; map; sialkolt; pakistan; muslim; hindu;,"Herman B. Wells Library, Bloomington, IN",Image;StillImage,image/jpeg
coll005,,thepartedearth.jpg,The Parted Earth,Anjali Enjeti,2021,,dedication page; frontise piece; new delhi; india; pakistan',"Monroe County Public Library, Bloomington, IN",Image;StillImage,image/jpeg
coll006,,whatthebodyremembers.jpg,What the Body Remembers,Shauna Singh Baldwin,1999,,dedication page; frontise piece; map; india; sikh; hindu;,"Herman B. Wells Library, Bloomington, IN",Image;StillImage,image/jpeg
coll007,,tamas.jpg,Tamas,Bhisham Sahni,2001,"amas is a story about how simmering communal tensions snowball into full-fledged riots that grip villages across the subcontinent. In a city in undivided Punjab, Nathu, a tanner, is bribed to kill a pig. When the animal’s carcass is discovered on the steps of the local mosque the next morning, brewing tensions explode into riots and massacre. A seemingly well planned and executed job by the British plants seeds of mistrust and hatred among those who, until the day before, had been close friends and neighbours. Tamas is a chilling reminder of the consequences of religious intolerance and communal prejudice.",dedication page; punjab; muslim;,"Herman B. Wells Library, Bloomington, IN",Image;StillImage,image/jpeg
coll008,,sunlightonabrokencolumn.jpg,Sunlight on a Broken Column,Attia Hosain,1988,,epigraph; lucknow; india;,"Herman B. Wells Library, Bloomington, IN",Image;StillImage,image/jpeg
coll009,,athousandtimesbefore.jpg,A Thousand Times Before,Asha Thanki,2024,,dedication page;,"Prince William County Public Library, Dumfries, VA",Image;StillImage,image/jpeg
coll010,,tombofsand.jpg,Tomb of Sand,Geetanjali Shree,2022,"In northern India, an eighty-year-old woman slips into a deep depression after the death of her husband, and then resurfaces to gain a new lease on life. Her determination to fly in the face of convention-including striking up a friendship with a transgender person-confuses her bohemian daughter, who is used to thinking of herself as the more 'modern' of the two. To her family's consternation, Ma insists on travelling to Pakistan, simultaneously confronting the unresolved trauma of her teenage experiences of Partition, and re-evaluating what it means to be a mother, a daughter, a woman, a feminist",dedication page; epigraph; translated; pakistan; india,"Herman B. Wells Library, Bloomington, IN",Image;StillImage,image/jpeg
coll011,,theministryofutmosthappiness.jpg,The Ministry of Utmost Happiness,Arundhati Roy,2017,,dedication page; kashmir; india; india; afghanistan; kabul;,"Herman B. Wells Library, Bloomington, IN",Image;StillImage,image/jpeg
coll012,,pinjar.jpg,Pinjar,Amrita Pritam,2003,,frontise piece; india; muslim; hindu;,"Herman B. Wells Library, Bloomington, IN",Image;StillImage,image/jpeg
coll013,,independence.jpg,Independence,Chitra Banerjee Divakaruni,2023,,dedication page; bengal; india; muslim; hindu;,"Monroe County Public Library, Bloomington, IN",Image;StillImage,image/jpeg
coll014,,abendintheganges.jpg,A Bend in the Ganges,Manokar Malgonkar,1964,,epigraph; punjab; sikh; muslim; hindu;,"Herman B. Wells Library, Bloomington, IN",Image;StillImage,image/jpeg
coll015,,amilandtheafter.jpg,Amil and the After,Veera Hiranandani,2024,,mumbai; india; muslim; hindu; pakistan; sikh; train;,"Monroe County Public Library, Bloomington, IN",Image;StillImage,image/jpeg
